Day of Date,MeasureNames,MeasureValues
"May 15, 2022",Entries,128326
"May 16, 2022",Entries,199606
"May 17, 2022",Entries,245598
"May 18, 2022",Entries,245046
"May 19, 2022",Entries,236778
"May 20, 2022",Entries,217055
"May 21, 2022",Entries,143253
"May 22, 2022",Entries,96780
"May 23, 2022",Entries,223437
"May 24, 2022",Entries,242033
"May 25, 2022",Entries,249823
"May 26, 2022",Entries,238338
"May 27, 2022",Entries,192881
"May 28, 2022",Entries,167013
"May 29, 2022",Entries,153994
"May 30, 2022",Entries,128157
"May 31, 2022",Entries,230242
"June 1, 2022",Entries,247814
"June 2, 2022",Entries,231740
"June 3, 2022",Entries,234766
"June 4, 2022",Entries,163365
"June 5, 2022",Entries,123957
"June 6, 2022",Entries,229441
"June 7, 2022",Entries,260823
"June 8, 2022",Entries,267113
"June 9, 2022",Entries,263152
"June 10, 2022",Entries,258356
"June 11, 2022",Entries,225793
"June 12, 2022",Entries,152859
"June 13, 2022",Entries,238777
"June 14, 2022",Entries,274150
"June 15, 2022",Entries,280124
"June 16, 2022",Entries,275447
"June 17, 2022",Entries,282679
"June 18, 2022",Entries,227070
"June 19, 2022",Entries,161728
"June 20, 2022",Entries,157037
"June 21, 2022",Entries,266350
"June 22, 2022",Entries,266478
"June 23, 2022",Entries,258213
"June 24, 2022",Entries,265046
"June 25, 2022",Entries,185156
"June 26, 2022",Entries,122115
"June 27, 2022",Entries,227090
"June 28, 2022",Entries,274682
"June 29, 2022",Entries,269125
"June 30, 2022",Entries,254517
"July 1, 2022",Entries,230188
"July 2, 2022",Entries,156231
"July 3, 2022",Entries,153214
"July 4, 2022",Entries,253727
"July 5, 2022",Entries,235493
"July 6, 2022",Entries,254358
"July 7, 2022",Entries,247501
"July 8, 2022",Entries,229705
"July 9, 2022",Entries,130068
"July 10, 2022",Entries,122971
"July 11, 2022",Entries,228170
"July 12, 2022",Entries,264175
"July 13, 2022",Entries,286911
"July 14, 2022",Entries,277358
"July 15, 2022",Entries,258663
"July 16, 2022",Entries,174638
"July 17, 2022",Entries,133220
"July 18, 2022",Entries,220259
"July 19, 2022",Entries,266847
"July 20, 2022",Entries,271551
"July 21, 2022",Entries,254498
"July 22, 2022",Entries,231297
"July 23, 2022",Entries,158742
"July 24, 2022",Entries,113664
"July 25, 2022",Entries,212312
"July 26, 2022",Entries,259655
"July 27, 2022",Entries,264947
"July 28, 2022",Entries,266713
"July 29, 2022",Entries,246475
"July 30, 2022",Entries,196557
"July 31, 2022",Entries,121158
"August 1, 2022",Entries,221981
"August 2, 2022",Entries,271710
"August 3, 2022",Entries,268943
"August 4, 2022",Entries,249668
"August 5, 2022",Entries,212063
"August 6, 2022",Entries,154848
"August 7, 2022",Entries,110853
"August 8, 2022",Entries,219971
"August 9, 2022",Entries,242363
"August 10, 2022",Entries,236979
"August 11, 2022",Entries,242577
"August 12, 2022",Entries,238288
"August 13, 2022",Entries,166984
"August 14, 2022",Entries,115682
"August 15, 2022",Entries,213693
"August 16, 2022",Entries,256607
"August 17, 2022",Entries,253213
"August 18, 2022",Entries,240142
"August 19, 2022",Entries,219027
"August 20, 2022",Entries,149404
"August 21, 2022",Entries,100184
"August 22, 2022",Entries,205224
"August 23, 2022",Entries,258344
"August 24, 2022",Entries,248791
"August 25, 2022",Entries,245254
"August 26, 2022",Entries,234686
"August 27, 2022",Entries,156134
"August 28, 2022",Entries,119819
"August 29, 2022",Entries,220757
"August 30, 2022",Entries,256605
"August 31, 2022",Entries,265126
"September 1, 2022",Entries,253528
"September 2, 2022",Entries,221439
"September 3, 2022",Entries,175401
"September 4, 2022",Entries,139975
"September 5, 2022",Entries,106775
"September 6, 2022",Entries,254691
"September 7, 2022",Entries,270117
"September 8, 2022",Entries,291852
"September 9, 2022",Entries,243772
"September 10, 2022",Entries,152983
"September 11, 2022",Entries,98943
"September 12, 2022",Entries,227582
"September 13, 2022",Entries,283569
"September 14, 2022",Entries,292616
"September 15, 2022",Entries,273766
"September 16, 2022",Entries,248117
"September 17, 2022",Entries,177228
"September 18, 2022",Entries,131456
"September 19, 2022",Entries,229855
"September 20, 2022",Entries,276325
"September 21, 2022",Entries,279229
"September 22, 2022",Entries,265535
"September 23, 2022",Entries,242242
"September 24, 2022",Entries,185198
"September 25, 2022",Entries,120418
"September 26, 2022",Entries,234867
"September 27, 2022",Entries,291586
"September 28, 2022",Entries,288391
"September 29, 2022",Entries,274167
"September 30, 2022",Entries,240862
"October 1, 2022",Entries,147586
"October 2, 2022",Entries,98389
"October 3, 2022",Entries,223067
"October 4, 2022",Entries,268474
"October 5, 2022",Entries,272723
"October 6, 2022",Entries,278864
"October 7, 2022",Entries,247807
"October 8, 2022",Entries,201093
"October 9, 2022",Entries,158796
"October 10, 2022",Entries,183305
"October 11, 2022",Entries,290998
"October 12, 2022",Entries,312191
"October 13, 2022",Entries,269686
"October 14, 2022",Entries,261553
"October 15, 2022",Entries,188412
"October 16, 2022",Entries,125078
"October 17, 2022",Entries,242744
"October 18, 2022",Entries,289988
"October 19, 2022",Entries,290897
"October 20, 2022",Entries,283446
"October 21, 2022",Entries,264818
"October 22, 2022",Entries,200449
"October 23, 2022",Entries,132727
"October 24, 2022",Entries,236651
"October 25, 2022",Entries,287082
"October 26, 2022",Entries,288205
"October 27, 2022",Entries,287214
"October 28, 2022",Entries,260795
"October 29, 2022",Entries,193221
"October 30, 2022",Entries,167995
"October 31, 2022",Entries,227064
"November 1, 2022",Entries,283185
"November 2, 2022",Entries,287880
"November 3, 2022",Entries,282840
"November 4, 2022",Entries,255475
"November 5, 2022",Entries,191849
"November 6, 2022",Entries,128679
"November 7, 2022",Entries,253328
"November 8, 2022",Entries,279382
"November 9, 2022",Entries,303184
"November 10, 2022",Entries,298085
"November 11, 2022",Entries,185490
"November 12, 2022",Entries,184973
"November 13, 2022",Entries,121133
"November 14, 2022",Entries,239132
"November 15, 2022",Entries,287161
"November 16, 2022",Entries,305661
"November 17, 2022",Entries,293954
"November 18, 2022",Entries,258548
"November 19, 2022",Entries,176235
"November 20, 2022",Entries,113794
"November 21, 2022",Entries,231339
"November 22, 2022",Entries,248805
"November 23, 2022",Entries,208584
"November 24, 2022",Entries,66572
"November 25, 2022",Entries,156089
"November 26, 2022",Entries,144074
"November 27, 2022",Entries,93914
"November 28, 2022",Entries,229266
"November 29, 2022",Entries,278336
"November 30, 2022",Entries,275447
"December 1, 2022",Entries,284832
"December 2, 2022",Entries,258264
"December 3, 2022",Entries,175386
"December 4, 2022",Entries,124391
"December 5, 2022",Entries,248166
"December 6, 2022",Entries,291251
"December 7, 2022",Entries,300747
"December 8, 2022",Entries,297571
"December 9, 2022",Entries,269500
"December 10, 2022",Entries,183477
"December 11, 2022",Entries,119002
"December 12, 2022",Entries,248255
"December 13, 2022",Entries,304229
"December 14, 2022",Entries,301859
"December 15, 2022",Entries,241618
"December 16, 2022",Entries,258616
"December 17, 2022",Entries,194567
"December 18, 2022",Entries,120162
"December 19, 2022",Entries,231398
"December 20, 2022",Entries,245255
"December 21, 2022",Entries,234092
"December 22, 2022",Entries,167908
"December 23, 2022",Entries,138643
"December 24, 2022",Entries,60314
"December 25, 2022",Entries,35079
"December 26, 2022",Entries,96557
"December 27, 2022",Entries,178332
"December 28, 2022",Entries,198006
"December 29, 2022",Entries,208550
"December 30, 2022",Entries,197637
"December 31, 2022",Entries,102299
"January 1, 2023",Entries,115784
"January 2, 2023",Entries,135062
"January 3, 2023",Entries,284592
"January 4, 2023",Entries,288843
"January 5, 2023",Entries,290734
"January 6, 2023",Entries,265118
"January 7, 2023",Entries,172669
"January 8, 2023",Entries,136489
"January 9, 2023",Entries,277672
"January 10, 2023",Entries,323040
"January 11, 2023",Entries,331575
"January 12, 2023",Entries,311132
"January 13, 2023",Entries,277632
"January 14, 2023",Entries,182819
"January 15, 2023",Entries,148900
"January 16, 2023",Entries,172218
"January 17, 2023",Entries,325318
"January 18, 2023",Entries,337115
"January 19, 2023",Entries,326787
"January 20, 2023",Entries,315770
"January 21, 2023",Entries,207780
"January 22, 2023",Entries,140424
"January 23, 2023",Entries,277400
"January 24, 2023",Entries,341466
"January 25, 2023",Entries,314702
"January 26, 2023",Entries,344369
"January 27, 2023",Entries,295165
"January 28, 2023",Entries,215035
"January 29, 2023",Entries,137644
"January 30, 2023",Entries,282198
"January 31, 2023",Entries,325179
"February 1, 2023",Entries,288947
"February 2, 2023",Entries,317311
"February 3, 2023",Entries,268528
"February 4, 2023",Entries,162348
"February 5, 2023",Entries,130986
"February 6, 2023",Entries,282741
"February 7, 2023",Entries,335155
"February 8, 2023",Entries,348935
"February 9, 2023",Entries,329205
"February 10, 2023",Entries,289912
"February 11, 2023",Entries,200249
"February 12, 2023",Entries,123109
"February 13, 2023",Entries,279457
"February 14, 2023",Entries,347735
"February 15, 2023",Entries,343924
"February 16, 2023",Entries,331006
"February 17, 2023",Entries,270070
"February 18, 2023",Entries,213509
"February 19, 2023",Entries,179299
"February 20, 2023",Entries,190392
"February 21, 2023",Entries,331110
"February 22, 2023",Entries,327358
"February 23, 2023",Entries,344462
"February 24, 2023",Entries,288966
"February 25, 2023",Entries,182974
"February 26, 2023",Entries,145255
"February 27, 2023",Entries,288927
"February 28, 2023",Entries,345987
"March 1, 2023",Entries,357985
"March 2, 2023",Entries,343423
"March 3, 2023",Entries,286325
"March 4, 2023",Entries,215247
"March 5, 2023",Entries,169747
"March 6, 2023",Entries,296615
"March 7, 2023",Entries,352107
"March 8, 2023",Entries,362442
"March 9, 2023",Entries,356033
"March 10, 2023",Entries,286535
"March 11, 2023",Entries,220739
"March 12, 2023",Entries,156784
"March 13, 2023",Entries,305946
"March 14, 2023",Entries,372690
"March 15, 2023",Entries,380434
"March 16, 2023",Entries,377983
"March 17, 2023",Entries,337208
"March 18, 2023",Entries,283595
"March 19, 2023",Entries,174280
"March 20, 2023",Entries,309756
"March 21, 2023",Entries,386689
"March 22, 2023",Entries,404222
"March 23, 2023",Entries,398678
"March 24, 2023",Entries,319358
"March 25, 2023",Entries,258298
"March 26, 2023",Entries,344233
"March 27, 2023",Entries,347008
"March 28, 2023",Entries,413749
"March 29, 2023",Entries,412018
"March 30, 2023",Entries,411884
"March 31, 2023",Entries,361087
"April 1, 2023",Entries,288830
"April 2, 2023",Entries,259889
"April 3, 2023",Entries,359116
"April 4, 2023",Entries,425986
"April 5, 2023",Entries,416436
"April 6, 2023",Entries,372216
"April 7, 2023",Entries,347028
"April 8, 2023",Entries,274183
"April 9, 2023",Entries,174054
"April 10, 2023",Entries,324821
"April 11, 2023",Entries,387892
"April 12, 2023",Entries,398497
"April 13, 2023",Entries,411888
"April 14, 2023",Entries,364815
"April 15, 2023",Entries,284430
"April 16, 2023",Entries,217933
"April 17, 2023",Entries,301347
"April 18, 2023",Entries,379325
"April 19, 2023",Entries,392980
"April 20, 2023",Entries,370820
"April 21, 2023",Entries,330808
"April 22, 2023",Entries,190735
"April 23, 2023",Entries,166166
"April 24, 2023",Entries,315049
"April 25, 2023",Entries,376012
"April 26, 2023",Entries,384260
"April 27, 2023",Entries,380033
"April 28, 2023",Entries,287426
"April 29, 2023",Entries,256496
"April 30, 2023",Entries,149397
"May 1, 2023",Entries,321691
"May 2, 2023",Entries,373277
"May 3, 2023",Entries,381310
"May 4, 2023",Entries,374797
"May 5, 2023",Entries,331546
"May 6, 2023",Entries,260787
"May 7, 2023",Entries,166430
"May 8, 2023",Entries,317005
"May 9, 2023",Entries,374357
"May 10, 2023",Entries,387615
"May 11, 2023",Entries,380966
"May 12, 2023",Entries,356594
"May 13, 2023",Entries,241047
"May 14, 2023",Entries,195554
"May 15, 2023",Entries,332856
"May 16, 2023",Entries,396360
"May 17, 2023",Entries,400465
"May 18, 2023",Entries,390636
"May 19, 2023",Entries,366486
"May 20, 2023",Entries,280711
"May 21, 2023",Entries,210069
"May 22, 2023",Entries,336557
"May 23, 2023",Entries,418545
"May 24, 2023",Entries,408529
"May 25, 2023",Entries,382876
"May 26, 2023",Entries,325677
"May 27, 2023",Entries,235567
"May 28, 2023",Entries,207576
"May 29, 2023",Entries,178566
"May 30, 2023",Entries,372523
"May 31, 2023",Entries,395672
"June 1, 2023",Entries,389812
"June 2, 2023",Entries,374069
"June 3, 2023",Entries,252744
"June 4, 2023",Entries,198966
"June 5, 2023",Entries,345204
"June 6, 2023",Entries,425397
"June 7, 2023",Entries,423007
"June 8, 2023",Entries,378917
"June 9, 2023",Entries,342928
"June 10, 2023",Entries,320905
"June 11, 2023",Entries,223770
"June 12, 2023",Entries,332102
"June 13, 2023",Entries,419516
"June 14, 2023",Entries,426100
"June 15, 2023",Entries,402587
"June 16, 2023",Entries,349341
"June 17, 2023",Entries,275667
"June 18, 2023",Entries,203960
"June 19, 2023",Entries,228110
"June 20, 2023",Entries,398529
"June 21, 2023",Entries,388611
"June 22, 2023",Entries,389842
"June 23, 2023",Entries,323199
"June 24, 2023",Entries,281584
"June 25, 2023",Entries,190100
"June 26, 2023",Entries,321699
"June 27, 2023",Entries,390564
"June 28, 2023",Entries,406697
"June 29, 2023",Entries,386879
"June 30, 2023",Entries,328605
"July 1, 2023",Entries,236038
"July 2, 2023",Entries,208598
"July 3, 2023",Entries,315623
"July 4, 2023",Entries,412648
"July 5, 2023",Entries,371878
"July 6, 2023",Entries,380663
"July 7, 2023",Entries,347516
"July 8, 2023",Entries,263184
"July 9, 2023",Entries,182249
"July 10, 2023",Entries,338214
"July 11, 2023",Entries,409419
"July 12, 2023",Entries,410132
"July 13, 2023",Entries,402612
"July 14, 2023",Entries,343964
"July 15, 2023",Entries,249385
"July 16, 2023",Entries,187590
"July 17, 2023",Entries,344425
"July 18, 2023",Entries,418169
"July 19, 2023",Entries,420144
"July 20, 2023",Entries,410891
"July 21, 2023",Entries,376813
"July 22, 2023",Entries,274190
"July 23, 2023",Entries,207123
"July 24, 2023",Entries,342316
"July 25, 2023",Entries,406920
"July 26, 2023",Entries,417078
"July 27, 2023",Entries,384730
"July 28, 2023",Entries,344077
"July 29, 2023",Entries,247913
"July 30, 2023",Entries,205476
"July 31, 2023",Entries,334482
"August 1, 2023",Entries,394352
"August 2, 2023",Entries,396289
"August 3, 2023",Entries,374394
"August 4, 2023",Entries,339521
"August 5, 2023",Entries,242834
"August 6, 2023",Entries,187667
"August 7, 2023",Entries,311624
"August 8, 2023",Entries,374130
"August 9, 2023",Entries,374850
"August 10, 2023",Entries,348783
"August 11, 2023",Entries,329044
"August 12, 2023",Entries,247001
"August 13, 2023",Entries,177228
"August 14, 2023",Entries,290961
"August 15, 2023",Entries,360061
"August 16, 2023",Entries,374369
"August 17, 2023",Entries,363144
"August 18, 2023",Entries,328354
"August 19, 2023",Entries,246456
"August 20, 2023",Entries,172471
"August 21, 2023",Entries,306554
"August 22, 2023",Entries,363157
"August 23, 2023",Entries,365825
"August 24, 2023",Entries,349552
"August 25, 2023",Entries,306928
"August 26, 2023",Entries,239676
"August 27, 2023",Entries,177219
"August 28, 2023",Entries,311487
"August 29, 2023",Entries,373584
"August 30, 2023",Entries,378294
"August 31, 2023",Entries,377987
"September 1, 2023",Entries,340494
"September 2, 2023",Entries,265022
"September 3, 2023",Entries,212049
"September 4, 2023",Entries,168834
"September 5, 2023",Entries,384479
"September 6, 2023",Entries,400022
"September 7, 2023",Entries,383285
"September 8, 2023",Entries,353195
"September 9, 2023",Entries,234126
"September 10, 2023",Entries,185881
"September 11, 2023",Entries,353004
"September 12, 2023",Entries,421635
"September 13, 2023",Entries,430723
"September 14, 2023",Entries,417500
"September 15, 2023",Entries,362293
"September 16, 2023",Entries,263893
"September 17, 2023",Entries,169710
"September 18, 2023",Entries,359713
"September 19, 2023",Entries,433857
"September 20, 2023",Entries,447613
"September 21, 2023",Entries,437325
"September 22, 2023",Entries,387956
"September 23, 2023",Entries,197011
"September 24, 2023",Entries,202529
"September 25, 2023",Entries,354530
"September 26, 2023",Entries,427467
"September 27, 2023",Entries,439622
"September 28, 2023",Entries,432355
"September 29, 2023",Entries,391960
"September 30, 2023",Entries,308769
"October 1, 2023",Entries,204737
"October 2, 2023",Entries,354550
"October 3, 2023",Entries,423690
"October 4, 2023",Entries,428787
"October 5, 2023",Entries,423704
"October 6, 2023",Entries,364932
"October 7, 2023",Entries,260060
"October 8, 2023",Entries,223368
"October 9, 2023",Entries,259566
"October 10, 2023",Entries,429276
"October 11, 2023",Entries,440841
"October 12, 2023",Entries,427468
"October 13, 2023",Entries,380962
"October 14, 2023",Entries,232923
"October 15, 2023",Entries,205164
"October 16, 2023",Entries,366515
"October 17, 2023",Entries,426390
"October 18, 2023",Entries,440477
"October 19, 2023",Entries,425491
"October 20, 2023",Entries,372685
"October 21, 2023",Entries,275685
"October 22, 2023",Entries,189044
"October 23, 2023",Entries,373819
"October 24, 2023",Entries,444537
"October 25, 2023",Entries,442393
"October 26, 2023",Entries,431437
"October 27, 2023",Entries,391918
"October 28, 2023",Entries,285798
"October 29, 2023",Entries,280200
"October 30, 2023",Entries,370271
"October 31, 2023",Entries,410490
"November 1, 2023",Entries,427835
"November 2, 2023",Entries,426195
"November 3, 2023",Entries,357118
"November 4, 2023",Entries,333177
"November 5, 2023",Entries,193580
"November 6, 2023",Entries,360834
"November 7, 2023",Entries,426894
"November 8, 2023",Entries,443202
"November 9, 2023",Entries,425338
"November 10, 2023",Entries,288463
"November 11, 2023",Entries,261996
"November 12, 2023",Entries,193797
"November 13, 2023",Entries,365880
"November 14, 2023",Entries,564377
"November 15, 2023",Entries,449157
"November 16, 2023",Entries,425582
"November 17, 2023",Entries,368597
"November 18, 2023",Entries,245325
"November 19, 2023",Entries,175108
"November 20, 2023",Entries,338682
"November 21, 2023",Entries,320186
"November 22, 2023",Entries,294756
"November 23, 2023",Entries,98717
"November 24, 2023",Entries,229779
"November 25, 2023",Entries,196460
"November 26, 2023",Entries,147216
"November 27, 2023",Entries,333446
"November 28, 2023",Entries,389958
"November 29, 2023",Entries,394151
"November 30, 2023",Entries,406502
"December 1, 2023",Entries,338335
"December 2, 2023",Entries,266008
"December 3, 2023",Entries,179072
"December 4, 2023",Entries,345430
"December 5, 2023",Entries,415353
"December 6, 2023",Entries,426317
"December 7, 2023",Entries,415656
"December 8, 2023",Entries,358829
"December 9, 2023",Entries,262990
"December 10, 2023",Entries,137365
"December 11, 2023",Entries,341227
"December 12, 2023",Entries,411120
"December 13, 2023",Entries,422989
"December 14, 2023",Entries,414262
"December 15, 2023",Entries,358513
"December 16, 2023",Entries,266920
"December 17, 2023",Entries,146140
"December 18, 2023",Entries,295866
"December 19, 2023",Entries,333175
"December 20, 2023",Entries,322285
"December 21, 2023",Entries,284356
"December 22, 2023",Entries,235114
"December 23, 2023",Entries,164757
"December 24, 2023",Entries,101840
"December 25, 2023",Entries,65261
"December 26, 2023",Entries,185370
"December 27, 2023",Entries,206874
"December 28, 2023",Entries,254965
"December 29, 2023",Entries,248048
"December 30, 2023",Entries,198454
"December 31, 2023",Entries,183060
"January 1, 2024",Entries,107082
"January 2, 2024",Entries,285044
"January 3, 2024",Entries,343723
"January 4, 2024",Entries,332538
"January 5, 2024",Entries,300225
"January 6, 2024",Entries,145685
"January 7, 2024",Entries,160111
"January 8, 2024",Entries,323799
"January 9, 2024",Entries,330677
"January 10, 2024",Entries,393620
"January 11, 2024",Entries,390910
"January 12, 2024",Entries,297905
"January 13, 2024",Entries,241681
"January 14, 2024",Entries,149764
"January 15, 2024",Entries,162202
"January 16, 2024",Entries,179388
"January 17, 2024",Entries,345527
"January 18, 2024",Entries,404692
"January 19, 2024",Entries,236441
"January 20, 2024",Entries,202740
"January 21, 2024",Entries,154981
"January 22, 2024",Entries,328633
"January 23, 2024",Entries,409367
"January 24, 2024",Entries,418101
"January 25, 2024",Entries,395688
"January 26, 2024",Entries,344316
"January 27, 2024",Entries,239371
"January 28, 2024",Entries,155048
"January 29, 2024",Entries,335873
"January 30, 2024",Entries,409147
"January 31, 2024",Entries,416425
"February 1, 2024",Entries,399901
"February 2, 2024",Entries,341149
"February 3, 2024",Entries,221649
"February 4, 2024",Entries,166535
"February 5, 2024",Entries,337974
"February 6, 2024",Entries,421283
"February 7, 2024",Entries,423627
"February 8, 2024",Entries,401948
"February 9, 2024",Entries,342182
"February 10, 2024",Entries,247704
"February 11, 2024",Entries,169947
"February 12, 2024",Entries,333785
"February 13, 2024",Entries,397530
"February 14, 2024",Entries,424170
"February 15, 2024",Entries,396617
"February 16, 2024",Entries,327404
"February 17, 2024",Entries,220632
"February 18, 2024",Entries,188469
"February 19, 2024",Entries,212116
"February 20, 2024",Entries,407558
"February 21, 2024",Entries,416179
"February 22, 2024",Entries,406061
"February 23, 2024",Entries,335027
"February 24, 2024",Entries,233525
"February 25, 2024",Entries,169496
"February 26, 2024",Entries,353798
"February 27, 2024",Entries,422330
"February 28, 2024",Entries,410410
"February 29, 2024",Entries,408533
"March 1, 2024",Entries,360968
"March 2, 2024",Entries,216796
"March 3, 2024",Entries,196613
"March 4, 2024",Entries,353199
"March 5, 2024",Entries,424731
"March 6, 2024",Entries,433724
"March 7, 2024",Entries,432704
"March 8, 2024",Entries,375159
"March 9, 2024",Entries,234873
"March 10, 2024",Entries,192257
"March 11, 2024",Entries,358989
"March 12, 2024",Entries,455615
"March 13, 2024",Entries,474585
"March 14, 2024",Entries,461387
"March 15, 2024",Entries,377987
"March 16, 2024",Entries,366269
"March 17, 2024",Entries,235834
"March 18, 2024",Entries,382020
"March 19, 2024",Entries,463255
"March 20, 2024",Entries,498320
"March 21, 2024",Entries,467585
"March 22, 2024",Entries,428788
"March 23, 2024",Entries,264202
"March 24, 2024",Entries,311258
"March 25, 2024",Entries,429718
"March 26, 2024",Entries,495113
"March 27, 2024",Entries,444318
"March 28, 2024",Entries,437480
"March 29, 2024",Entries,430535
"March 30, 2024",Entries,386791
"March 31, 2024",Entries,231879
"April 1, 2024",Entries,399520
"April 2, 2024",Entries,456903
"April 3, 2024",Entries,453654
"April 4, 2024",Entries,490368
"April 5, 2024",Entries,425800
"April 6, 2024",Entries,327590
"April 7, 2024",Entries,264310
"April 8, 2024",Entries,366793
"April 9, 2024",Entries,448692
"April 10, 2024",Entries,457324
"April 11, 2024",Entries,433734
"April 12, 2024",Entries,386692
"April 13, 2024",Entries,327536
"April 14, 2024",Entries,237820
"April 15, 2024",Entries,374760
"April 16, 2024",Entries,434483
"April 17, 2024",Entries,442953
"April 18, 2024",Entries,438510
"April 19, 2024",Entries,381086
"April 20, 2024",Entries,352697
"April 21, 2024",Entries,197898
"April 22, 2024",Entries,361250
"April 23, 2024",Entries,455659
"April 24, 2024",Entries,463002
"April 25, 2024",Entries,464811
"April 26, 2024",Entries,398151
"April 27, 2024",Entries,263956
"April 28, 2024",Entries,231866
"April 29, 2024",Entries,361931
"April 30, 2024",Entries,439146
"May 1, 2024",Entries,449466
"May 2, 2024",Entries,433521
"May 3, 2024",Entries,387301
"May 4, 2024",Entries,251851
"May 5, 2024",Entries,188183
"May 6, 2024",Entries,357526
"May 7, 2024",Entries,463407
"May 8, 2024",Entries,473597
"May 9, 2024",Entries,425840
"May 10, 2024",Entries,352510
"May 11, 2024",Entries,262714
"May 12, 2024",Entries,185009
"May 13, 2024",Entries,375812
"May 14, 2024",Entries,439483
"May 15, 2024",Entries,450993
"May 16, 2024",Entries,452672
"May 17, 2024",Entries,378327
"May 18, 2024",Entries,241903
"May 19, 2024",Entries,219848
"May 20, 2024",Entries,388833
"May 21, 2024",Entries,467680
"May 22, 2024",Entries,459999
"May 23, 2024",Entries,413817
"May 24, 2024",Entries,368762
"May 25, 2024",Entries,283758
"May 26, 2024",Entries,243424
"May 27, 2024",Entries,185054
"May 28, 2024",Entries,417994
"May 29, 2024",Entries,433264
"May 30, 2024",Entries,437918
"May 31, 2024",Entries,373692
"June 1, 2024",Entries,255733
"June 2, 2024",Entries,193266
"June 3, 2024",Entries,383766
"June 4, 2024",Entries,457486
"June 5, 2024",Entries,452764
"June 6, 2024",Entries,463605
"June 7, 2024",Entries,430068
"June 8, 2024",Entries,418090
"June 9, 2024",Entries,259311
"June 10, 2024",Entries,380194
"June 11, 2024",Entries,466355
"June 12, 2024",Entries,483383
"June 13, 2024",Entries,445217
"June 14, 2024",Entries,398629
"June 15, 2024",Entries,282260
"June 16, 2024",Entries,204205
"June 17, 2024",Entries,360903
"June 18, 2024",Entries,449543
"June 19, 2024",Entries,280155
"June 20, 2024",Entries,422006
"June 21, 2024",Entries,351843
"June 22, 2024",Entries,274565
"June 23, 2024",Entries,187022
"June 24, 2024",Entries,358226
"June 25, 2024",Entries,437883
"June 26, 2024",Entries,443068
"June 27, 2024",Entries,443381
"June 28, 2024",Entries,374427
"June 29, 2024",Entries,265971
"June 30, 2024",Entries,185758
"July 1, 2024",Entries,378765
"July 2, 2024",Entries,432720
"July 3, 2024",Entries,428299
"July 4, 2024",Entries,447153
"July 5, 2024",Entries,313043
"July 6, 2024",Entries,237829
"July 7, 2024",Entries,187547
"July 8, 2024",Entries,359294
"July 9, 2024",Entries,421242
"July 10, 2024",Entries,418495
"July 11, 2024",Entries,421484
"July 12, 2024",Entries,350458
"July 13, 2024",Entries,282301
"July 14, 2024",Entries,187568
"July 15, 2024",Entries,346412
"July 16, 2024",Entries,419149
"July 17, 2024",Entries,413210
"July 18, 2024",Entries,420398
"July 19, 2024",Entries,382258
"July 20, 2024",Entries,282067
"July 21, 2024",Entries,208416
"July 22, 2024",Entries,353581
"July 23, 2024",Entries,444935
"July 24, 2024",Entries,448390
"July 25, 2024",Entries,427639
"July 26, 2024",Entries,363000
"July 27, 2024",Entries,277256
"July 28, 2024",Entries,200180
"July 29, 2024",Entries,370811
"July 30, 2024",Entries,416428
"July 31, 2024",Entries,413098
"August 1, 2024",Entries,405109
"August 2, 2024",Entries,369006
"August 3, 2024",Entries,256145
"August 4, 2024",Entries,198881
"August 5, 2024",Entries,337413
"August 6, 2024",Entries,410467
"August 7, 2024",Entries,399034
"August 8, 2024",Entries,361123
"August 9, 2024",Entries,288433
"August 10, 2024",Entries,242980
"August 11, 2024",Entries,192347
"August 12, 2024",Entries,321350
"August 13, 2024",Entries,388721
"August 14, 2024",Entries,391288
"August 15, 2024",Entries,378809
"August 16, 2024",Entries,327719
"August 17, 2024",Entries,230878
"August 18, 2024",Entries,179297
"August 19, 2024",Entries,319020
"August 20, 2024",Entries,403268
"August 21, 2024",Entries,405128
"August 22, 2024",Entries,384758
"August 23, 2024",Entries,339421
"August 24, 2024",Entries,268982
"August 25, 2024",Entries,195850
"August 26, 2024",Entries,355460
"August 27, 2024",Entries,432653
"August 28, 2024",Entries,421938
"August 29, 2024",Entries,392202
"August 30, 2024",Entries,343824
"August 31, 2024",Entries,258077
"September 1, 2024",Entries,228259
"September 2, 2024",Entries,182939
"September 3, 2024",Entries,409778
"September 4, 2024",Entries,427747
"September 5, 2024",Entries,421953
"September 6, 2024",Entries,357576
"September 7, 2024",Entries,274656
"September 8, 2024",Entries,194900
"September 9, 2024",Entries,377818
"September 10, 2024",Entries,464722
"September 11, 2024",Entries,469335
"September 12, 2024",Entries,461476
"September 13, 2024",Entries,402285
"September 14, 2024",Entries,308296
"September 15, 2024",Entries,230401
"September 16, 2024",Entries,381647
"September 17, 2024",Entries,462601
"September 18, 2024",Entries,459840
"September 19, 2024",Entries,471539
"September 20, 2024",Entries,396833
"September 21, 2024",Entries,291368
"September 22, 2024",Entries,193159
"September 23, 2024",Entries,380610
"September 24, 2024",Entries,470885
"September 25, 2024",Entries,473620
"September 26, 2024",Entries,457106
"September 27, 2024",Entries,395071
"September 28, 2024",Entries,330528
"September 29, 2024",Entries,209949
"September 30, 2024",Entries,377715
"October 1, 2024",Entries,448908
"October 2, 2024",Entries,457373
"October 3, 2024",Entries,442591
